title,qid,url
12 Angry Men (1957 film),Q2345,https://en.wikipedia.org/wiki/12_Angry_Men_(1957_film)
1812 Overture,Q212776,https://en.wikipedia.org/wiki/1812_Overture
21st-century Western classical music,Q4631020,https://en.wikipedia.org/wiki/21st-century_Western_classical_music
24 (TV series),Q56194,https://en.wikipedia.org/wiki/24_(TV_series)
2666,Q219437,https://en.wikipedia.org/wiki/2666
30 Rock,Q189350,https://en.wikipedia.org/wiki/30_Rock
4′33″,Q12030,https://en.wikipedia.org/wiki/4′33″
60 Minutes,Q247869,https://en.wikipedia.org/wiki/60_Minutes
A Bar at the Folies-Bergère,Q1245354,https://en.wikipedia.org/wiki/A_Bar_at_the_Folies-Bergère
A Brighter Summer Day,Q710745,https://en.wikipedia.org/wiki/A_Brighter_Summer_Day
A Chorus Line,Q189427,https://en.wikipedia.org/wiki/A_Chorus_Line
A Clockwork Orange (film),Q181086,https://en.wikipedia.org/wiki/A_Clockwork_Orange_(film)
A Cotton Office in New Orleans,Q3794660,https://en.wikipedia.org/wiki/A_Cotton_Office_in_New_Orleans
A Harlot's Progress,Q3207063,https://en.wikipedia.org/wiki/A_Harlot's_Progress
A Midsummer Night's Dream (Mendelssohn),Q1305214,https://en.wikipedia.org/wiki/A_Midsummer_Night's_Dream_(Mendelssohn)
A Moveable Feast,Q2052363,https://en.wikipedia.org/wiki/A_Moveable_Feast
A Psalm of Life,Q56560009,https://en.wikipedia.org/wiki/A_Psalm_of_Life
A Room of One's Own,Q1204366,https://en.wikipedia.org/wiki/A_Room_of_One's_Own
A Season in Hell,Q301342,https://en.wikipedia.org/wiki/A_Season_in_Hell
A Study of History,Q1193697,https://en.wikipedia.org/wiki/A_Study_of_History
A Trip to the Moon,Q244971,https://en.wikipedia.org/wiki/A_Trip_to_the_Moon
A True Story,Q783244,https://en.wikipedia.org/wiki/A_True_Story
A cappella,Q185298,https://en.wikipedia.org/wiki/A_cappella
Aachen Cathedral,Q5908,https://en.wikipedia.org/wiki/Aachen_Cathedral
Abbey Road,Q173643,https://en.wikipedia.org/wiki/Abbey_Road
