title,qid,url
Ligand (biochemistry),Q899107,https://en.wikipedia.org/wiki/Ligand_(biochemistry)
Vault (gymnastics),Q598168,https://en.wikipedia.org/wiki/Vault_(gymnastics)
Paranthropus boisei,Q310531,https://en.wikipedia.org/wiki/Paranthropus_boisei
Cox's Bazar,Q949746,https://en.wikipedia.org/wiki/Cox's_Bazar
Supernova nucleosynthesis,Q1150817,https://en.wikipedia.org/wiki/Supernova_nucleosynthesis
Virtual memory,Q189401,https://en.wikipedia.org/wiki/Virtual_memory
Square kilometre,Q712226,https://en.wikipedia.org/wiki/Square_kilometre
Fiscal conservatism,Q2698984,https://en.wikipedia.org/wiki/Fiscal_conservatism
Medieval architecture,Q1349760,https://en.wikipedia.org/wiki/Medieval_architecture
Jean-Pierre Blanchard,Q366649,https://en.wikipedia.org/wiki/Jean-Pierre_Blanchard
Satellite galaxy,Q2495,https://en.wikipedia.org/wiki/Satellite_galaxy
Structural analysis,Q1762403,https://en.wikipedia.org/wiki/Structural_analysis
MC Lyte,Q455292,https://en.wikipedia.org/wiki/MC_Lyte
Romanian literature,Q2077256,https://en.wikipedia.org/wiki/Romanian_literature
Surgical suture,Q619800,https://en.wikipedia.org/wiki/Surgical_suture
Franck–Hertz experiment,Q726406,https://en.wikipedia.org/wiki/Franck–Hertz_experiment
Evening gown,Q2144456,https://en.wikipedia.org/wiki/Evening_gown
Viral disease,Q1928978,https://en.wikipedia.org/wiki/Viral_disease
Tang Chun-i,Q7682698,https://en.wikipedia.org/wiki/Tang_Chun-i
Ferdinand Piëch,Q78713,https://en.wikipedia.org/wiki/Ferdinand_Piëch
Théodore Simon,Q969139,https://en.wikipedia.org/wiki/Théodore_Simon
Action (physics),Q846785,https://en.wikipedia.org/wiki/Action_(physics)
River mouth,Q1233637,https://en.wikipedia.org/wiki/River_mouth
"Split, Croatia",Q1663,"https://en.wikipedia.org/wiki/Split,_Croatia"
K. Asif,Q1729384,https://en.wikipedia.org/wiki/K._Asif
Vacation rental,Q336532,https://en.wikipedia.org/wiki/Vacation_rental
Mole salamander,Q2513619,https://en.wikipedia.org/wiki/Mole_salamander
Ultraviolet index,Q1330108,https://en.wikipedia.org/wiki/Ultraviolet_index
Menudo (group),Q2555767,https://en.wikipedia.org/wiki/Menudo_(group)
Juan Vicente Gómez,Q317990,https://en.wikipedia.org/wiki/Juan_Vicente_Gómez
Royal Ontario Museum,Q649250,https://en.wikipedia.org/wiki/Royal_Ontario_Museum
Vinicius de Moraes,Q333856,https://en.wikipedia.org/wiki/Vinicius_de_Moraes
Lath and plaster,Q2119408,https://en.wikipedia.org/wiki/Lath_and_plaster
Relative atomic mass,Q41377,https://en.wikipedia.org/wiki/Relative_atomic_mass
Henry Lee Lucas,Q36789,https://en.wikipedia.org/wiki/Henry_Lee_Lucas
Hasan ibn Ali,Q182914,https://en.wikipedia.org/wiki/Hasan_ibn_Ali
Montgomery bus boycott,Q249367,https://en.wikipedia.org/wiki/Montgomery_bus_boycott
Al Jazeera Arabic,Q13477,https://en.wikipedia.org/wiki/Al_Jazeera_Arabic
